,hsa-let-7b*,hsa-let-7f-2*,hsa-miR-10b*,hsa-miR-1238,hsa-miR-1245,hsa-miR-1246,hsa-miR-1258,hsa-miR-126*,hsa-miR-1262,hsa-miR-1279,hsa-miR-1282,hsa-miR-1283,hsa-miR-1290,hsa-miR-1291,hsa-miR-1299,hsa-miR-130b*,hsa-miR-132*,hsa-miR-133a,hsa-miR-133b,hsa-miR-135b,hsa-miR-136*,hsa-miR-142-3p,hsa-miR-1468,hsa-miR-154,hsa-miR-155*,hsa-miR-1825,hsa-miR-190b,hsa-miR-196a,hsa-miR-199b-5p,hsa-miR-200a,hsa-miR-204,hsa-miR-21*,hsa-miR-23a*,hsa-miR-26a-2*,hsa-miR-26b*,hsa-miR-298,hsa-miR-29b-1*,hsa-miR-29c*,hsa-miR-302a,hsa-miR-302b,hsa-miR-302d,hsa-miR-31,hsa-miR-31*,hsa-miR-330-5p,hsa-miR-335*,hsa-miR-340*,hsa-miR-34a,hsa-miR-373,hsa-miR-375,hsa-miR-376a*,hsa-miR-382,hsa-miR-450a,hsa-miR-450b-5p,hsa-miR-454*,hsa-miR-455-3p,hsa-miR-455-5p,hsa-miR-483-3p,hsa-miR-488,hsa-miR-488*,hsa-miR-489,hsa-miR-491-3p,hsa-miR-508-3p,hsa-miR-509-3p,hsa-miR-515-3p,hsa-miR-515-5p,hsa-miR-518a-5p,hsa-miR-518d-3p,hsa-miR-518d-5p,hsa-miR-519b-5p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-520d-5p,hsa-miR-520f,hsa-miR-522,hsa-miR-545*,hsa-miR-556-3p,hsa-miR-556-5p,hsa-miR-564,hsa-miR-566,hsa-miR-568,hsa-miR-576-5p,hsa-miR-578,hsa-miR-581,hsa-miR-589,hsa-miR-598,hsa-miR-601,hsa-miR-609,hsa-miR-613,hsa-miR-615-3p,hsa-miR-629,hsa-miR-644,hsa-miR-646,hsa-miR-876-3p,hsa-miR-889,hsa-miR-892b,hsa-miR-9,hsa-miR-933,hsa-miR-942,hsa-miR-96*,hsa-miR-98,
GSM1512192,1,1,97.06124881,4.59699714,97.06124881,1,1,4.59699714,1,4.59699714,21.17111535,119.6382269,1,143.5879409,4.59699714,1,1,77.45638704,38.14227836,83.79432793,1,21.17111535,21.17111535,1,77.45638704,21.17111535,1,57.23474738,21.17111535,44.85343184,4.59699714,57.23474738,1,1,4.59699714,143.5879409,1,1,57.23474738,1,1,119.6382269,119.6382269,57.23474738,57.23474738,21.17111535,1,21.17111535,21.17111535,1,1,57.23474738,21.17111535,57.23474738,201.6108198,21.17111535,1,57.23474738,57.23474738,325.1737369,57.23474738,38.14227836,1,1,143.5879409,97.06124881,21.17111535,38.14227836,97.06124881,1,1,21.17111535,21.17111535,4.59699714,1,1,38.14227836,143.5879409,57.23474738,77.45638704,21.17111535,21.17111535,21.17111535,97.06124881,4.59699714,1,38.14227836,4.59699714,1,1,1,484.0035748,1,21.17111535,97.06124881,1,143.5879409,1,503.4635367,77.45638704,3
GSM1512296,11.61320305,44.34628217,95.51596759,95.51596759,60.87654909,60.87654909,1,27.45781697,1,11.61320305,27.45781697,27.45781697,44.34628217,27.45781697,95.51596759,78.37964728,1,60.87654909,1,1,78.37964728,60.87654909,11.61320305,27.45781697,60.87654909,44.34628217,60.87654909,1,27.45781697,60.87654909,60.87654909,1,60.87654909,1,27.45781697,27.45781697,1,1,1,44.34628217,1,60.87654909,198.0960439,1,1,60.87654909,78.37964728,27.45781697,95.51596759,60.87654909,142.8829838,1,44.34628217,27.45781697,127.8815539,44.34628217,1,11.61320305,27.45781697,95.51596759,1,1,1,27.45781697,142.8829838,174.0750715,1,127.8815539,11.61320305,1,44.34628217,44.34628217,1,44.34628217,78.37964728,60.87654909,95.51596759,60.87654909,95.51596759,60.87654909,27.45781697,11.61320305,60.87654909,174.0750715,127.8815539,1,1,38.3100572,27.45781697,127.8815539,60.87654909,95.51596759,1,27.45781697,27.45781697,1,78.37964728,27.45781697,60.87654909,1,3
GSM1512297,1,1,1,18.957102,59.97878932,95.51596759,1,1,18.957102,1,1,144.3133937,1,47.60653003,120.9030029,18.957102,1,7.069828408,1,1,33.10128694,47.60653003,1,1,95.51596759,71.70090562,71.70090562,7.069828408,33.10128694,71.70090562,1,47.60653003,47.60653003,1,18.957102,71.70090562,18.957102,7.069828408,7.069828408,7.069828408,1,84.31911344,202.371306,7.069828408,18.957102,33.10128694,47.60653003,1,18.957102,47.60653003,120.9030029,1,47.60653003,7.069828408,177.7790753,1,47.60653003,33.10128694,71.70090562,120.9030029,47.60653003,1,1,1,144.3133937,202.371306,18.957102,144.3133937,95.51596759,1,1,71.70090562,1,1,18.957102,33.10128694,120.9030029,107.814347,47.60653003,71.70090562,1,47.60653003,59.97878932,71.70090562,47.60653003,18.957102,18.957102,18.957102,1,95.51596759,59.97878932,168.0278837,1,18.957102,18.957102,1,158.7001907,18.957102,107.814347,33.10128694,3
GSM1512298,68.89156339,1,6.164204004,1,17.42254528,21.58174452,6.164204004,28.52264061,17.42254528,1,1,68.89156339,1,68.89156339,103.1089133,1,6.164204004,6.164204004,1,1,56.39204004,56.39204004,68.89156339,6.164204004,68.89156339,17.42254528,56.39204004,1,28.52264061,37.29766444,37.29766444,91.15800763,80.80529075,1,17.42254528,138.3229266,56.39204004,1,1,1,1,138.3229266,157.4196854,80.80529075,1,91.15800763,17.42254528,1,46.02025739,1,122.7054337,17.42254528,37.29766444,6.164204004,171.1546711,6.164204004,1,1,28.52264061,113.3129171,6.164204004,1,46.02025739,1,122.7054337,233.3400858,91.15800763,198.0960439,147.2969495,6.164204004,1,91.15800763,6.164204004,46.02025739,17.42254528,1,80.80529075,122.7054337,68.89156339,37.29766444,1,17.42254528,1,46.02025739,56.39204004,1,1,1,37.29766444,171.1546711,37.29766444,103.1089133,46.02025739,17.42254528,6.164204004,28.52264061,138.3229266,1,68.89156339,46.02025739,3
GSM1512299,77.8948999,1,19.24666349,33.01167779,3.811487131,3.811487131,1,19.24666349,3.811487131,77.8948999,1,77.8948999,1,103.5402765,3.811487131,1,1,33.01167779,1,1,19.24666349,19.24666349,1,3.811487131,3.811487131,3.811487131,19.24666349,1,48.18612965,77.8948999,19.24666349,117.0545758,9.145138227,3.811487131,1,164.5274071,3.811487131,3.811487131,1,1,1,132.0445663,117.0545758,19.24666349,33.01167779,19.24666349,1,1,1,3.811487131,3.811487131,1,103.5402765,1,132.0445663,19.24666349,1,1,19.24666349,103.5402765,90.98450906,1,1,3.811487131,164.5274071,201.6108198,77.8948999,117.0545758,132.0445663,1,65.17087703,77.8948999,19.24666349,1,33.01167779,1,48.18612965,132.0445663,117.0545758,48.18612965,1,19.24666349,48.18612965,77.8948999,103.5402765,1,19.24666349,33.01167779,48.18612965,164.5274071,1,164.5274071,90.98450906,19.24666349,1,19.24666349,77.8948999,33.01167779,132.0445663,1,3
GSM1512312,93.43636797,1,30.8400858,63.15490944,6.656101049,1,1,72.8229266,6.656101049,1,20.00595806,41.7542898,20.00595806,87.18612965,52.54456625,6.656101049,63.15490944,155.2519066,158.2318875,1,30.8400858,108.1880362,41.7542898,1,1,176.0235939,1,1,1,1,6.656101049,122.9501907,30.8400858,1,1,63.15490944,6.656101049,72.8229266,1,52.54456625,6.656101049,87.18612965,81.20900858,63.15490944,20.00595806,6.656101049,72.8229266,1,6.656101049,1,72.8229266,20.00595806,1,30.8400858,81.20900858,41.7542898,199.8906101,1,63.15490944,98.814347,1,1,1,20.00595806,108.1880362,98.814347,20.00595806,63.15490944,52.54456625,1,1,6.656101049,1,30.8400858,1,1,52.54456625,98.814347,30.8400858,41.7542898,1,6.656101049,1,155.2519066,152.4587703,52.54456625,1,6.656101049,30.8400858,291.2550048,6.656101049,130.9158723,1,6.656101049,103.5402765,52.54456625,108.1880362,52.54456625,72.8229266,52.54456625,1
GSM1512313,1,33.3529552,1,141.8191134,33.3529552,49.4549571,75.78670162,94.65753098,49.4549571,15.76858913,75.78670162,33.3529552,49.4549571,33.3529552,86.28979981,33.3529552,49.4549571,171.7342707,148.7371306,86.28979981,1.298617731,113.9744995,33.3529552,49.4549571,15.76858913,177.1384652,1.298617731,1.298617731,63.00834128,1,33.3529552,86.28979981,1,33.3529552,33.3529552,15.76858913,15.76858913,15.76858913,1.298617731,15.76858913,1,63.00834128,49.4549571,33.3529552,75.78670162,1.298617731,63.00834128,15.76858913,75.78670162,1,103.1089133,103.1089133,1,63.00834128,75.78670162,86.28979981,171.7342707,1.298617731,33.3529552,113.9744995,1.298617731,1.298617731,103.1089133,1.298617731,1,103.1089133,15.76858913,15.76858913,86.28979981,1,63.00834128,1.298617731,1,1,1,1,1.298617731,103.1089133,33.3529552,1.298617731,33.3529552,113.9744995,33.3529552,103.1089133,148.7371306,49.4549571,63.00834128,63.00834128,49.4549571,201.6108198,75.78670162,103.1089133,1,86.28979981,113.9744995,15.76858913,75.78670162,63.00834128,103.1089133,134.9530505,1
GSM1512314,69.97497617,1,27.66372736,27.66372736,27.66372736,1,1,69.97497617,7.35772164,1,27.66372736,48.7886082,27.66372736,69.97497617,27.66372736,48.7886082,48.7886082,69.97497617,69.97497617,69.97497617,27.66372736,27.66372736,27.66372736,1,48.7886082,113.7476168,7.35772164,69.97497617,69.97497617,27.66372736,1,144.7075786,27.66372736,48.7886082,27.66372736,130.9158723,1,27.66372736,113.7476168,27.66372736,27.66372736,93.99833174,93.99833174,48.7886082,69.97497617,7.35772164,27.66372736,1,27.66372736,27.66372736,48.7886082,93.99833174,1,93.99833174,130.9158723,27.66372736,69.97497617,1,130.9158723,144.7075786,27.66372736,69.97497617,69.97497617,69.97497617,7.35772164,69.97497617,27.66372736,69.97497617,113.7476168,1,1,1,7.35772164,1,1,1,27.66372736,130.9158723,27.66372736,69.97497617,27.66372736,48.7886082,27.66372736,48.7886082,27.66372736,27.66372736,27.66372736,1,113.7476168,113.7476168,27.66372736,203.1317922,69.97497617,48.7886082,93.99833174,1,144.7075786,27.66372736,130.9158723,113.7476168,1
GSM1512367,41.42445186,61.48736892,1,20.31482364,1,1,1.096520496,73.60533842,129.1165396,10.43303146,30.35962822,1,86.88298379,1,98.814347,1,10.43303146,61.48736892,20.31482364,1,1,129.1165396,112.1186845,30.35962822,73.60533842,51.86582459,98.814347,30.35962822,41.42445186,1,73.60533842,10.43303146,30.35962822,41.42445186,1,1,30.35962822,129.1165396,1,30.35962822,98.814347,112.1186845,1.096520496,61.48736892,73.60533842,73.60533842,159.6720686,30.35962822,1,112.1186845,41.42445186,1.096520496,51.86582459,98.814347,30.35962822,10.43303146,51.86582459,61.48736892,1,1,1,73.60533842,1,112.1186845,30.35962822,61.48736892,1.096520496,10.43303146,41.42445186,51.86582459,1,1,30.35962822,41.42445186,10.43303146,30.35962822,73.60533842,41.42445186,1,73.60533842,51.86582459,112.1186845,186.2704957,1,129.1165396,1.096520496,30.35962822,41.42445186,112.1186845,264.5064347,86.88298379,159.6720686,73.60533842,1,98.814347,86.88298379,1,146.127979,61.48736892,73.60533842,1
GSM1512368,49.09556721,102.5505243,1,35.97163966,1,1,64.13107722,49.09556721,24.15181125,24.15181125,1,1,64.13107722,24.15181125,64.13107722,1,24.15181125,125.1313155,49.09556721,49.09556721,3.0107245,35.97163966,81.77383222,102.5505243,35.97163966,24.15181125,24.15181125,3.0107245,12.84103908,49.09556721,81.77383222,3.0107245,35.97163966,64.13107722,3.0107245,1,1,24.15181125,1,102.5505243,3.0107245,3.0107245,35.97163966,49.09556721,81.77383222,152.8817922,152.8817922,182.9132507,49.09556721,49.09556721,49.09556721,24.15181125,1,64.13107722,24.15181125,1,102.5505243,3.0107245,1,12.84103908,81.77383222,102.5505243,12.84103908,12.84103908,3.0107245,182.9132507,1,24.15181125,35.97163966,81.77383222,24.15181125,1,3.0107245,81.77383222,24.15181125,49.09556721,81.77383222,125.1313155,24.15181125,49.09556721,64.13107722,125.1313155,64.13107722,1,81.77383222,3.0107245,64.13107722,49.09556721,1,152.8817922,35.97163966,64.13107722,102.5505243,1,102.5505243,49.09556721,182.9132507,182.9132507,49.09556721,24.15181125,1
GSM1512369,85.24451859,103.3245949,1,2.787654909,1,1,22.69041945,69.68541468,57.4978551,45.47497617,1,1,103.3245949,2.787654909,57.4978551,1,69.68541468,12.55505243,45.47497617,12.55505243,1,154.857245,1,124.900143,1,33.5664919,103.3245949,1,45.47497617,12.55505243,124.900143,12.55505243,2.787654909,22.69041945,57.4978551,1,85.24451859,12.55505243,1,310.913489,33.5664919,154.857245,57.4978551,154.857245,2.787654909,85.24451859,85.24451859,69.68541468,57.4978551,22.69041945,33.5664919,1,1,33.5664919,45.47497617,124.900143,12.55505243,45.47497617,12.55505243,341.2619161,12.55505243,154.857245,1,12.55505243,57.4978551,69.68541468,1,2.787654909,33.5664919,45.47497617,103.3245949,2.787654909,33.5664919,22.69041945,33.5664919,85.24451859,85.24451859,103.3245949,22.69041945,1,33.5664919,33.5664919,57.4978551,2.787654909,103.3245949,1,45.47497617,2.787654909,85.24451859,261.2249762,103.3245949,22.69041945,45.47497617,2.787654909,154.857245,103.3245949,154.857245,154.857245,12.55505243,45.47497617,1
GSM1512370,41.63417541,78.81053384,4.160390848,27.45781697,12.55505243,1,48.67612011,57.01739752,12.55505243,91.15800763,1,1,91.15800763,1,106.4506673,41.63417541,57.01739752,27.45781697,4.160390848,57.01739752,1,57.01739752,1,57.01739752,1,78.81053384,141.8191134,1,34.98117255,27.45781697,57.01739752,27.45781697,20.11653956,48.67612011,91.15800763,1,170.0259771,66.86725453,1,170.0259771,57.01739752,141.8191134,12.55505243,106.4506673,20.11653956,78.81053384,206.9459009,106.4506673,66.86725453,41.63417541,57.01739752,57.01739752,27.45781697,66.86725453,41.63417541,57.01739752,48.67612011,57.01739752,4.160390848,57.01739752,20.11653956,91.15800763,27.45781697,34.98117255,27.45781697,78.81053384,20.11653956,27.45781697,1,48.67612011,141.8191134,27.45781697,27.45781697,20.11653956,57.01739752,66.86725453,41.63417541,57.01739752,66.86725453,34.98117255,12.55505243,124.1627741,91.15800763,1,57.01739752,34.98117255,57.01739752,12.55505243,48.67612011,141.8191134,170.0259771,34.98117255,141.8191134,1,106.4506673,206.9459009,106.4506673,124.1627741,57.01739752,170.0259771,1
GSM1512371,36.28813155,212.8748808,1,9.145138227,1,17.14227836,78.52836034,122.7054337,58.49022879,106.9907054,1,1,17.14227836,1,58.49022879,58.49022879,17.14227836,50.60557674,1,58.49022879,36.28813155,106.9907054,30.44542421,92.64561487,17.14227836,78.52836034,248.0691134,1,17.14227836,58.49022879,92.64561487,1,92.64561487,30.44542421,92.64561487,1,142.164204,24.35009533,30.44542421,212.8748808,106.9907054,67.24475691,36.28813155,36.28813155,24.35009533,122.7054337,248.0691134,50.60557674,67.24475691,106.9907054,58.49022879,30.44542421,42.94685415,165.5264538,1,78.52836034,106.9907054,24.35009533,1,58.49022879,9.145138227,122.7054337,1,1,42.94685415,78.52836034,1,9.145138227,17.14227836,50.60557674,78.52836034,1,142.164204,1,24.35009533,106.9907054,30.44542421,78.52836034,42.94685415,1,9.145138227,78.52836034,92.64561487,1,186.2704957,50.60557674,42.94685415,36.28813155,165.5264538,142.164204,50.60557674,30.44542421,186.2704957,1,78.52836034,58.49022879,58.49022879,142.164204,1,142.164204,1
GSM1512372,137.578408,114.936368,1,16.44447092,1,1,72.37535748,85.4849857,1,164.5274071,1,1,16.44447092,8.021687321,33.10128694,137.578408,33.10128694,85.4849857,137.578408,50.73331745,50.73331745,25.22616778,33.10128694,137.578408,1,60.69923737,98.27287893,1,1,16.44447092,50.73331745,1,33.10128694,41.42445186,60.69923737,1,72.37535748,98.27287893,1,201.6108198,72.37535748,72.37535748,1,33.10128694,98.27287893,72.37535748,261.2249762,41.42445186,261.2249762,85.4849857,125.1313155,41.42445186,16.44447092,85.4849857,41.42445186,72.37535748,114.936368,16.44447092,1,33.10128694,1,164.5274071,1,41.42445186,33.10128694,41.42445186,1,33.10128694,16.44447092,50.73331745,60.69923737,1,60.69923737,1,72.37535748,50.73331745,85.4849857,50.73331745,1,1,1,85.4849857,333.2125834,1,201.6108198,60.69923737,137.578408,50.73331745,41.42445186,98.27287893,333.2125834,1,137.578408,1,72.37535748,114.936368,72.37535748,85.4849857,1,85.4849857,1
GSM1512373,77.60319352,64.59056244,1,34.14180172,3.676120114,105.2473785,34.14180172,43.60367016,43.60367016,1,1,1,77.60319352,1,23.67469018,53.27669209,43.60367016,77.60319352,53.27669209,53.27669209,1,177.1384652,91.56601525,137.9506673,1,77.60319352,157.8257865,1,53.27669209,34.14180172,105.2473785,1,43.60367016,53.27669209,23.67469018,1,23.67469018,64.59056244,1,157.8257865,105.2473785,215.9218303,13.38250715,53.27669209,3.676120114,105.2473785,137.9506673,53.27669209,53.27669209,105.2473785,91.56601525,1,1,105.2473785,43.60367016,64.59056244,43.60367016,23.67469018,13.38250715,64.59056244,1,121.4520972,1,43.60367016,1,53.27669209,1,53.27669209,13.38250715,34.14180172,64.59056244,1,1,34.14180172,1,77.60319352,77.60319352,91.56601525,3.676120114,1,23.67469018,34.14180172,13.38250715,1,197.2828885,53.27669209,77.60319352,43.60367016,105.2473785,215.9218303,177.1384652,1,121.4520972,1,77.60319352,34.14180172,53.27669209,105.2473785,1,105.2473785,1
GSM1512374,85.4849857,57.12607245,2.667540515,45.37202097,45.37202097,1,76.69709247,103.3245949,2.667540515,1,2.667540515,1,21.48641563,21.48641563,1,45.37202097,21.48641563,103.3245949,45.37202097,76.69709247,21.48641563,93.99833174,33.50548141,21.48641563,21.48641563,45.37202097,2.667540515,1,33.50548141,2.667540515,76.69709247,45.37202097,11.07221163,67.13036225,1,11.07221163,33.50548141,103.3245949,2.667540515,67.13036225,11.07221163,135.5869876,1,93.99833174,1,57.12607245,124.6689704,1,21.48641563,57.12607245,67.13036225,1,1,33.50548141,85.4849857,67.13036225,45.37202097,2.667540515,1,57.12607245,11.07221163,93.99833174,1,1,67.13036225,76.69709247,2.667540515,21.48641563,67.13036225,21.48641563,1,1,1,21.48641563,2.667540515,76.69709247,85.4849857,85.4849857,1,45.37202097,7.590324118,45.37202097,45.37202097,76.69709247,124.6689704,11.07221163,21.48641563,33.50548141,45.37202097,215.9218303,85.4849857,67.13036225,45.37202097,1,113.9744995,33.50548141,57.12607245,124.6689704,45.37202097,93.99833174,1
GSM1512439,81.48355577,1,1,59.5,17.64585319,6.942087703,1,17.64585319,1,6.942087703,1,90.98450906,1,59.5,81.48355577,6.942087703,1,59.5,1,6.942087703,1,71.58555767,1,28.87940896,71.58555767,140.7457102,17.64585319,1,1,59.5,1,100.2480934,59.5,1,1,140.7457102,1,17.64585319,6.942087703,17.64585319,6.942087703,81.48355577,90.98450906,38.93922784,28.87940896,17.64585319,17.64585319,17.64585319,1,1,100.2480934,1,38.93922784,1,140.7457102,1,59.5,28.87940896,59.5,115.5912774,71.58555767,1,1,1,71.58555767,163.4997617,17.64585319,129.3677312,100.2480934,1,28.87940896,17.64585319,1,1,17.64585319,1,17.64585319,148.7371306,81.48355577,48.89537655,1,17.64585319,17.64585319,81.48355577,59.5,1,48.89537655,28.87940896,1,184.8057674,81.48355577,134.0893708,28.87940896,28.87940896,28.87940896,48.89537655,156.0831745,17.64585319,87.33293613,100.2480934,3
GSM1512441,19.32102002,1,34.55600572,34.55600572,70.12559581,42.10748332,1,1,3.229980934,1,1,121.4520972,1,112.3472355,137.9506673,1,1,3.229980934,1,1,51.0536225,70.12559581,26.74857007,1,51.0536225,34.55600572,60.22259295,1,1,51.0536225,1,88.37392755,34.55600572,1,1,70.12559581,19.32102002,1,3.229980934,1,3.229980934,188.992612,264.5064347,1,1,1,42.10748332,34.55600572,1,26.74857007,121.4520972,11.61320305,105.0531459,34.55600572,172.3138704,26.74857007,1,1,105.0531459,137.9506673,97.20781697,1,11.61320305,1,179.8105338,202.371306,51.0536225,165.5264538,70.12559581,1,1,19.32102002,3.229980934,1,51.0536225,19.32102002,137.9506673,156.0831745,105.0531459,51.0536225,1,3.229980934,11.61320305,60.22259295,51.0536225,3.229980934,11.61320305,42.10748332,34.55600572,1,112.3472355,277.1594376,1,51.0536225,3.229980934,1,213.9330315,1,70.12559581,1,3
GSM1512442,12.45591039,1,16.55123928,10.22521449,25.46067684,43.71377502,74.11081983,28.80290753,1,1,1,105.8048141,1,76.81720686,160.6258341,1,1,1.838179218,1,1,60.87654909,1,1,1,40.01835081,12.45591039,8.533126787,1,76.81720686,82.67326025,1.838179218,60.87654909,1.838179218,1,1,179.8105338,16.55123928,1,1,1,1,88.73999047,306.1036702,1,1,50.83817922,45.5664919,3.676120114,1.838179218,64.13107722,71.58555767,1,94.82745472,10.22521449,207.8834604,28.80290753,1,1,88.73999047,915.8710677,82.67326025,1,1,12.45591039,256.213775,942.8064824,256.213775,382.8300763,129.9699714,22.82030505,1,60.87654909,1,1,20.22712107,1,275.2557197,198.0960439,94.82745472,111.3944233,1,1,8.533126787,76.81720686,66.36534795,102.5505243,40.01835081,100.5798379,133.1908961,6.164204004,34.55600572,325.1737369,40.01835081,6.164204004,50.83817922,1,409.7557197,25.46067684,188.3272164,1,3
GSM1512443,1,38.68755958,48.67612011,100.2480934,73.21234509,28.95591039,1,1,10.43303146,1,1,109.599142,1,176.0235939,109.599142,1,1,28.95591039,1,1,65.54218303,10.43303146,4.269065777,1.298617731,28.95591039,100.2480934,28.95591039,1.298617731,1,57.23474738,1,100.2480934,28.95591039,1,1,81.48355577,10.43303146,10.43303146,1,28.95591039,1,194.2168732,137.9506673,1,1,38.68755958,48.67612011,28.95591039,1.298617731,48.67612011,73.21234509,1.298617731,48.67612011,1,129.1165396,10.43303146,38.68755958,1,65.54218303,259.5993804,10.43303146,1,1,28.95591039,176.0235939,155.6465682,81.48355577,277.1594376,155.6465682,1,19.04837941,57.23474738,1,81.48355577,38.68755958,19.04837941,119.0188275,90.81101049,119.0188275,57.23474738,1,1,10.43303146,119.0188275,28.95591039,28.95591039,19.04837941,65.54218303,1,100.2480934,48.67612011,186.2704957,10.43303146,19.04837941,48.67612011,1,428.8666587,48.67612011,100.2480934,1,3
GSM1512444,1,1,47.31101049,82.3529552,47.31101049,55.36344137,3.0107245,3.0107245,1,3.0107245,1,104.2480934,3.0107245,113.9744995,133.7990944,1,1,3.0107245,1,1,47.31101049,3.0107245,3.0107245,3.0107245,47.31101049,1,13.50071497,13.50071497,1,93.13179218,1,93.13179218,24.25095329,1,47.31101049,113.9744995,3.0107245,1,1,24.25095329,3.0107245,147.2969495,133.7990944,3.0107245,1,1,39.63274547,1,1,70.75714967,82.3529552,3.0107245,24.25095329,1,172.9101525,3.0107245,47.31101049,1,82.3529552,197.2828885,24.25095329,3.0107245,1,3.0107245,197.2828885,180.9663966,59.5,172.9101525,122.4606768,1,35.60271687,35.60271687,1,3.0107245,3.0107245,1,113.9744995,133.7990944,82.3529552,47.31101049,1,59.5,24.25095329,82.3529552,70.75714967,1,3.0107245,24.25095329,1,158.7001907,122.4606768,180.9663966,13.50071497,3.0107245,1,1,180.9663966,24.25095329,122.4606768,1,3
GSM1512463,1,3.443517636,30.07125834,83.51596759,11.8948999,30.07125834,1,1,11.8948999,1,1,117.2607245,1,11.8948999,46.30958055,1,1,83.51596759,30.07125834,1,11.8948999,3.443517636,30.07125834,46.30958055,78.03979981,46.30958055,20.75333651,1,1,129.3677312,1,301.6665872,46.30958055,1,11.8948999,46.30958055,1,1,11.8948999,1,1,76.41491897,192.7333174,1,3.443517636,1,1,1,71.12607245,1,1,1,71.12607245,3.443517636,109.599142,64.4721163,11.8948999,1,58.37964728,142.8829838,46.30958055,1,1,58.37964728,123.2759771,71.12607245,30.07125834,71.12607245,71.12607245,1,1,30.07125834,1,30.07125834,30.07125834,11.8948999,11.8948999,97.06124881,64.4721163,1,1,11.8948999,1,97.06124881,71.12607245,1,38.14227836,71.12607245,1,109.599142,64.4721163,148.378694,11.8948999,71.12607245,46.30958055,1,64.4721163,90.14370829,52.23951382,1,3
GSM1512464,17.22998093,28.52264061,1,107.2162774,1,36.61987607,55.75905624,1,17.22998093,1,1,77.45638704,1,36.61987607,97.06124881,1,1,45.37202097,1,1,28.52264061,45.37202097,77.45638704,45.37202097,66.99880839,45.37202097,28.52264061,1,1,162.5121544,1,107.2162774,17.22998093,1,36.61987607,1,1,36.61987607,1,1,1,1,130.9158723,17.22998093,36.61987607,140.7457102,28.52264061,17.22998093,117.764061,87.18612965,17.22998093,55.75905624,87.18612965,17.22998093,162.5121544,55.75905624,1,1,55.75905624,194.9759295,36.61987607,17.22998093,17.22998093,55.75905624,97.06124881,77.45638704,194.9759295,55.75905624,17.22998093,1,1,1,36.61987607,55.75905624,17.22998093,17.22998093,66.99880839,36.61987607,36.61987607,28.52264061,1,162.5121544,36.61987607,77.45638704,97.06124881,36.61987607,1,97.06124881,36.61987607,162.5121544,55.75905624,36.61987607,28.52264061,1,77.45638704,1,55.75905624,107.2162774,107.2162774,17.22998093,3
GSM1512465,10.22521449,10.22521449,1,39.48403241,1.197569113,96.15157293,39.48403241,50.60557674,19.32102002,1,29.50500477,50.60557674,10.22521449,19.32102002,96.15157293,39.48403241,1,50.60557674,10.22521449,1,19.32102002,29.50500477,50.60557674,10.22521449,84.83484271,29.50500477,29.50500477,1,10.22521449,140.4010963,119.6382269,80.664204,50.60557674,29.50500477,84.83484271,10.22521449,1,50.60557674,1,58.08555767,1,29.50500477,206.0100095,10.22521449,19.32102002,96.15157293,108.6074833,50.60557674,62.92040038,119.6382269,39.48403241,1,29.50500477,96.15157293,226.3124404,19.32102002,29.50500477,1,84.83484271,373.3941849,29.50500477,1,62.92040038,29.50500477,513.4010963,170.0259771,206.0100095,29.50500477,96.15157293,3.931601525,10.22521449,1,1,19.32102002,29.50500477,19.32102002,29.50500477,19.32102002,50.60557674,84.83484271,39.48403241,248.0691134,29.50500477,73.86677788,119.6382269,29.50500477,1.197569113,73.86677788,1,50.60557674,170.0259771,50.60557674,62.92040038,140.4010963,273.3520019,1,1,50.60557674,50.60557674,1,3
GSM1512466,54.71043851,10.12225929,38.00881792,202.371306,24.15181125,1,1,38.00881792,87.88965682,10.12225929,10.12225929,87.88965682,24.15181125,87.88965682,54.71043851,24.15181125,1,72.26668255,87.88965682,1,54.71043851,123.2759771,24.15181125,72.26668255,87.88965682,1,1,1,1,310.913489,24.15181125,168.0278837,87.88965682,1,24.15181125,38.00881792,24.15181125,54.71043851,54.71043851,72.26668255,1,54.71043851,266.1622974,1,123.2759771,38.00881792,1,1,38.00881792,1,1,1,123.2759771,54.71043851,168.0278837,1,54.71043851,1,24.15181125,367.2967112,87.88965682,24.15181125,87.88965682,87.88965682,233.3400858,123.2759771,87.88965682,54.71043851,105.2473785,1,72.26668255,24.15181125,1,54.71043851,38.00881792,1,105.2473785,123.2759771,54.71043851,54.71043851,24.15181125,10.12225929,1,24.15181125,123.2759771,54.71043851,38.00881792,168.0278837,24.15181125,72.26668255,143.9192088,38.00881792,38.00881792,87.88965682,54.71043851,1,54.71043851,123.2759771,1,1,3
