,hsa-let-7b*,hsa-let-7f-2*,hsa-miR-10b*,hsa-miR-1238,hsa-miR-1245,hsa-miR-1246,hsa-miR-1258,hsa-miR-126*,hsa-miR-1262,hsa-miR-1279,hsa-miR-1282,hsa-miR-1283,hsa-miR-1290,hsa-miR-1291,hsa-miR-1299,hsa-miR-130b*,hsa-miR-132*,hsa-miR-133a,hsa-miR-133b,hsa-miR-135b,hsa-miR-136*,hsa-miR-142-3p,hsa-miR-1468,hsa-miR-154,hsa-miR-155*,hsa-miR-1825,hsa-miR-190b,hsa-miR-196a,hsa-miR-199b-5p,hsa-miR-200a,hsa-miR-204,hsa-miR-21*,hsa-miR-23a*,hsa-miR-26a-2*,hsa-miR-26b*,hsa-miR-298,hsa-miR-29b-1*,hsa-miR-29c*,hsa-miR-302a,hsa-miR-302b,hsa-miR-302d,hsa-miR-31,hsa-miR-31*,hsa-miR-330-5p,hsa-miR-335*,hsa-miR-340*,hsa-miR-34a,hsa-miR-373,hsa-miR-375,hsa-miR-376a*,hsa-miR-382,hsa-miR-450a,hsa-miR-450b-5p,hsa-miR-454*,hsa-miR-455-3p,hsa-miR-455-5p,hsa-miR-483-3p,hsa-miR-488,hsa-miR-488*,hsa-miR-489,hsa-miR-491-3p,hsa-miR-508-3p,hsa-miR-509-3p,hsa-miR-515-3p,hsa-miR-515-5p,hsa-miR-518a-5p,hsa-miR-518d-3p,hsa-miR-518d-5p,hsa-miR-519b-5p,hsa-miR-520c-3p,hsa-miR-520d-3p,hsa-miR-520d-5p,hsa-miR-520f,hsa-miR-522,hsa-miR-545*,hsa-miR-556-3p,hsa-miR-556-5p,hsa-miR-564,hsa-miR-566,hsa-miR-568,hsa-miR-576-5p,hsa-miR-578,hsa-miR-581,hsa-miR-589,hsa-miR-598,hsa-miR-601,hsa-miR-609,hsa-miR-613,hsa-miR-615-3p,hsa-miR-629,hsa-miR-644,hsa-miR-646,hsa-miR-876-3p,hsa-miR-889,hsa-miR-892b,hsa-miR-9,hsa-miR-933,hsa-miR-942,hsa-miR-96*,hsa-miR-98,
GSM1512152,1,1,125.8703527,1,100.2480934,1.197569113,1,1,1,17.97068637,1,110.7690658,1,175.3336511,1,1,1,17.97068637,1,1.197569113,95.82530982,1,10.02693041,10.02693041,83.18422307,1,1.197569113,1,1,65.29051478,1,58.89346997,1,1,17.97068637,631.9945186,10.02693041,1,1,1.197569113,1,252.7476168,168.5181125,1,1,1,39.25738799,1,1,10.02693041,1.197569113,1,65.29051478,1,229.7044805,1,1,1,110.7690658,283.0533842,89.5107245,1,26.31720686,1,358.6603908,587.022164,52.44923737,631.9945186,358.6603908,1,1,58.89346997,10.02693041,1.197569113,89.5107245,1,213.9330315,179.8105338,199.8906101,125.8703527,1,1,1,71.02121068,33.26143947,58.89346997,1,1,10.02693041,39.25738799,1,283.0533842,10.02693041,65.29051478,10.02693041,1.197569113,432.778122,10.02693041,125.8703527,10.02693041,3
GSM1512154,6.164204004,6.164204004,97.06124881,1,39.48403241,1,1,1,6.164204004,1,1,104.4616301,1,160.1756435,1,1,1,97.06124881,1,1,81.77383222,16.55123928,6.164204004,1,6.164204004,6.164204004,1,1,1,97.06124881,1,48.04885605,6.164204004,1,28.61987607,440.3443756,1,1,16.55123928,1,1,226.3124404,97.06124881,39.48403241,1,1,28.61987607,1,28.61987607,1,6.164204004,48.04885605,16.55123928,1,179.8105338,1,1,1,128.1846997,448.4192088,81.77383222,1,28.61987607,1,293.3458055,303.8851287,81.77383222,226.3124404,199.8906101,1,28.61987607,89.78145853,1,1,65.17087703,1,111.6422784,179.8105338,111.6422784,55.92302193,28.61987607,1,1,28.61987607,55.92302193,1,1,1,28.61987607,1,1,352.6241659,1,28.61987607,1,28.61987607,303.8851287,1,128.1846997,6.164204004,3
GSM1512177,1,31.12535748,70.75714967,1,31.12535748,1,1,1,1,1,1,174.0750715,1,174.0750715,1,1,11.07221163,70.75714967,1,11.07221163,92.99261201,1,1,1,128.1846997,45.78384175,1,1,38.00881792,58.80243089,1,106.8188751,1,1,11.07221163,285.2452336,1,1,1,1,11.07221163,83.65514776,241.0765014,1,1,1,31.12535748,1,1,1,1,4.984985701,100.2480934,45.78384175,83.65514776,4.984985701,1,1,120.3877502,241.0765014,76.93732126,4.984985701,11.07221163,1,395.6908961,232.1043851,45.78384175,195.7228313,139.6794566,1,1,38.00881792,1,11.07221163,24.56744519,1,76.93732126,139.6794566,92.99261201,174.0750715,11.07221163,1,1,38.00881792,1,17.97068637,1,1,17.97068637,17.97068637,1,448.4192088,1,45.78384175,1,45.78384175,100.2480934,1,174.0750715,17.97068637,3
GSM1512178,1,1,37.2156816,15.39871306,37.2156816,1,1,1,1,40.64180172,1,320.6704004,15.39871306,37.2156816,29.39823642,3.113679695,1,57.68851287,22.82030505,22.82030505,191.2538132,1,1,1,235.9716397,37.2156816,1,1,29.39823642,113.5302669,1,61.48736892,1,3.113679695,1,139.03551,1,1,37.2156816,1,9.05171592,26.56124881,54.71043851,9.05171592,1,1,15.39871306,1,46.22020972,1,22.82030505,52.10414681,61.48736892,12.07769304,162.9830791,12.07769304,1,1,113.5302669,139.03551,101.664204,46.22020972,22.82030505,22.82030505,191.2538132,101.664204,203.1317922,29.39823642,155.2519066,1,1,57.68851287,6.240467112,1,9.05171592,1,87.88965682,80.17516683,83.04003813,149.9225453,1,9.05171592,3.113679695,117.4668732,75.50834128,1,1,1,6.240467112,1,1,264.5064347,1,139.03551,29.39823642,32.28908484,230.8686845,9.05171592,239.8167302,32.28908484,3
GSM1512179,1,8.670400381,77.75,1,70.75714967,1,1,1.413012393,1,1,1,156.9697331,1,341.2619161,1,1,1,37.68875119,8.670400381,8.670400381,60.60224023,1,1,1,121.6968541,1.413012393,1,1,1.413012393,131.5340801,1,138.6792183,1,1,1,107.4418494,1,1,1,1,8.670400381,181.6127264,639.4840324,1.413012393,1,17.64585319,12.07769304,1,1,1,1,8.670400381,107.4418494,42.87821735,107.4418494,8.670400381,1,1,86.15085796,226.3124404,95.36344137,1,1,1,700.7615586,226.3124404,141.8191134,131.5340801,82.89585319,1.413012393,1,37.68875119,1,1,20.31482364,8.670400381,113.9744995,159.6720686,48.11749285,131.5340801,1.413012393,1,1,58.08555767,34.73522402,1,1,1,37.68875119,1,1,523.6932793,8.670400381,20.31482364,8.670400381,17.64585319,295.3722593,8.670400381,452.6994757,1,3
GSM1512180,1,5.653241182,81.20900858,1,59.16801716,1,1,24.35009533,1,44.63989514,1,141.8191134,1,179.1151096,5.653241182,31.49523356,1,54.19876072,11.26096282,24.35009533,155.2519066,17.14227836,1,1,358.6603908,11.26096282,1,1,1,125.3584366,1,100.7271211,1,5.653241182,24.35009533,17.14227836,1,1,1,1,1,125.3584366,310.913489,1,11.26096282,24.35009533,15.49594852,1,24.35009533,64.02216397,24.35009533,36.04980934,119.6382269,95.51596759,89.07769304,11.26096282,44.63989514,1,73.45638704,211.7959962,73.45638704,1,1,1,475.5993804,134.0893708,81.20900858,81.20900858,95.51596759,1,1,44.63989514,1,36.04980934,1,49.09556721,89.07769304,31.49523356,24.35009533,167.4821258,40.10033365,40.10033365,17.14227836,54.19876072,73.45638704,1,1,1,17.14227836,1,1,234.6558627,17.14227836,125.3584366,40.10033365,44.63989514,36.04980934,64.02216397,310.913489,1,3
GSM1512181,5.203288847,37.12607245,113.3129171,1,79.10795996,1,1,1,1,9.346758818,1,139.03551,9.346758818,89.96258341,5.203288847,1,1,21.76858913,1,16.55123928,76.10986654,1,1,1,150.8343661,25.07745472,1,1,19.04837941,98.814347,1,96.15157293,1,1,1,283.0533842,1,1,1,2.280505243,1,98.814347,173.5064347,9.346758818,1,1,25.07745472,1,2.280505243,2.280505243,1,9.346758818,93.43636797,34.64942803,224.9911821,9.346758818,1,1,165.5264538,315.8877502,108.992612,1,1,1,432.778122,224.9911821,93.43636797,200.750715,150.8343661,1,1,41.7542898,1,1,49.97926597,5.203288847,132.0445663,189.7457102,134.9530505,180.9663966,1,1,1,63.73617731,14.38179218,1,1,1,16.55123928,1,12.26120114,498.4080076,1,76.10986654,12.26120114,9.346758818,325.1737369,1,399.1719495,1,3
GSM1512182,1,1,89.22092469,6.240467112,24.35009533,1,1,1,1,17.31768351,1,168.5181125,1,97.62893232,6.240467112,1,1,43.02121068,24.35009533,6.240467112,97.62893232,1,1,1,146.127979,65.54218303,1,1,17.31768351,106.9907054,1,69.00047664,1,1,1,146.127979,1,1,1,1,1,168.5181125,252.7476168,6.240467112,6.240467112,17.31768351,17.31768351,1,1,6.240467112,1,43.02121068,69.00047664,55.84103908,192.0088179,24.35009533,37.0364633,1,192.0088179,338.5512393,160.6258341,6.240467112,1,1,562.8549809,192.0088179,97.62893232,65.54218303,136.1746902,1,1,37.0364633,1,17.31768351,31.01882745,1,136.1746902,136.1746902,118.2747855,136.1746902,17.31768351,1,31.01882745,97.62893232,6.240467112,1,1,1,43.02121068,1,1,534.2435653,1,113.0493327,24.35009533,6.240467112,222.6827931,1,361.4892755,17.31768351,3
GSM1512183,1,7.590324118,156.9697331,1,89.5107245,1,1,7.590324118,1,1.838179218,1,193.457817,1,361.4892755,1,1,1,33.44447092,1,20.84103908,75.50834128,1,1,1,144.7075786,13.50071497,1,1,33.44447092,89.5107245,1,122.2011439,1,1,1,448.4192088,1,13.50071497,20.84103908,1.838179218,7.590324118,299.5326501,299.5326501,7.590324118,1,20.84103908,60.69923737,1,1,20.84103908,1,1,89.5107245,97.62893232,193.457817,1,1,1,89.5107245,498.4080076,122.2011439,1,1,1,734.2067445,668.8443756,104.6751668,409.7557197,166.936368,1,1,47.11272641,1,7.590324118,20.84103908,13.50071497,248.0691134,220.5038132,122.2011439,144.7075786,26.85915157,1,20.84103908,89.5107245,40.38060057,1,1,1,20.84103908,1,1,1015.585081,1.838179218,47.11272641,20.84103908,1,498.4080076,1,361.4892755,1,3
GSM1512184,1,49.09556721,121.6968541,1,78.37964728,1,1,9.145138227,1,1,1,144.3133937,1,322.9220686,1,1,1,49.09556721,1,14.45448046,78.37964728,1,1,1,144.3133937,38.22616778,1,1,4.848188751,144.3133937,1,144.3133937,1,1,1,211.7959962,1,1,1,1,1,160.6258341,192.7333174,9.145138227,1,14.45448046,21.04313632,1,1,27.23856053,1,1,78.37964728,38.22616778,112.3472355,14.45448046,1,1,182.2590562,456.9797426,160.6258341,9.145138227,1,1,1048.039561,456.9797426,170.5903241,230.8686845,275.2557197,1,1,57.4978551,1,27.23856053,27.23856053,1,201.6108198,121.6968541,112.3472355,211.7959962,14.45448046,27.23856053,1,38.22616778,4.848188751,1,1,4.848188751,38.22616778,1,1,865.7018589,1,63.00834128,27.23856053,32.76572927,275.2557197,1,230.8686845,1,3
GSM1512191,38.3100572,1,46.62082936,1,17.76429933,1,1,1,1,1,1,97.97545281,2.539799809,112.3472355,22.82030505,1,1,54.08031459,30.6093899,1,66.36534795,1,2.539799809,1,87.33293613,79.53122021,1,1,22.82030505,138.6792183,1,105.0531459,11.98975214,1,22.82030505,222.6827931,1,1,11.98975214,1,1,129.3677312,108.6074833,2.539799809,2.539799809,1,38.3100572,1,7.069828408,1,30.6093899,62.83245949,58.6008103,7.069828408,295.3722593,2.539799809,1,1,72.95638704,248.0691134,105.0531459,17.76429933,1,26.85915157,108.6074833,129.3677312,92.99261201,87.33293613,149.0955672,1,1,11.98975214,1,1,1,1,116.5927073,166.4754528,79.53122021,54.08031459,1,1,1,154.4206387,30.6093899,1,1,1,17.76429933,1,1,352.6241659,1,30.6093899,66.36534795,1,213.9330315,1,344.241897,30.6093899,3
